Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Affordability Ratio,Living Cost Excluding Rent,Cost of Living Adjusted for Purchasing Power,Rent as a Percentage of Cost of Living Plus Rent Index
1,Switzerland,101.1,46.5,74.9,109.1,97,158.7,1.569732938,54.6,0.63705104,62
2,Bahamas,85,36.7,61.8,81.6,83.3,54.6,0.642352941,48.3,1.556776557,59
3,Iceland,83,39.2,62,88.4,86.8,120.3,1.44939759,43.8,0.689941812,63
4,Singapore,76.7,67.2,72.1,74.6,50.4,111.1,1.448500652,9.5,0.690369037,93
5,Barbados,76.6,19,48.9,80.8,69.4,43.5,0.567885117,57.6,1.76091954,39
6,Norway,76,26.2,52.1,79,73.5,114.7,1.509210526,49.8,0.662598082,50
7,Denmark,72.3,26.4,50.2,64.8,81.3,127.2,1.7593361,45.9,0.568396226,53
8,Hong Kong (China),70.8,59.4,65.3,84.6,46.2,109.3,1.543785311,11.4,0.647758463,91
9,United States,70.4,41.7,56.6,75,67.2,142.3,2.021306818,28.7,0.494729445,74
10,Australia,70.2,33.4,52.5,77.3,62.5,127.4,1.814814815,36.8,0.551020408,64
11,Austria,65.1,22.5,44.7,66.4,59.3,102.4,1.57296467,42.6,0.635742188,50
12,Canada,64.8,33.2,49.6,71.2,61.7,103.7,1.600308642,31.6,0.62487946,67
13,New Zealand,64.6,25.9,46,71.9,57.1,121,1.873065015,38.7,0.533884298,56
14,Ireland,64.4,42.3,53.8,59.3,65.3,101.1,1.569875776,22.1,0.636993076,79
15,France,63.7,21,43.2,69.5,56.3,102.4,1.607535322,42.7,0.622070313,49
16,Puerto Rico,63.3,19.5,42.3,64.1,53.1,103.5,1.63507109,43.8,0.611594203,46
17,Finland,63.2,19.7,42.4,63,63.6,118,1.867088608,43.5,0.53559322,46
18,Netherlands,63.1,33.5,48.9,59.9,61.2,124.9,1.979397781,29.6,0.505204163,69
19,Israel,62.7,27.1,45.6,59.6,68,99.4,1.585326954,35.6,0.630784708,59
20,Luxembourg,62.4,40.5,51.9,64.1,68.7,182.5,2.924679487,21.9,0.341917808,78
21,Germany,62.2,24.4,44,60.8,52.8,120.2,1.932475884,37.8,0.517470882,55
22,United Kingdom,62,31.1,47.1,56.9,62.7,115.2,1.858064516,30.9,0.538194444,66
23,Belgium,61.1,20.1,41.4,57.5,66,109.8,1.79705401,41,0.556466302,49
24,South Korea,60.1,16,38.9,81.4,31.4,109.4,1.820299501,44.1,0.549360146,41
25,Sweden,59.3,20.9,40.9,60.8,54.7,122.6,2.067453626,38.4,0.483686786,51
26,Italy,56.2,19.2,38.5,57,53.3,78.3,1.393238434,37,0.717752235,50
27,United Arab Emirates,55.8,41.3,48.9,45.3,49.2,127.9,2.292114695,14.5,0.436278342,84
28,Cyprus,54.7,24.8,40.4,49.6,53.2,71.4,1.305301645,29.9,0.766106443,61
29,Uruguay,54.1,13.8,34.8,52.1,50.2,56.3,1.040665434,40.3,0.960923623,40
30,Jamaica,53.9,14.1,34.8,62,38.8,32.7,0.606679035,39.8,1.648318043,41
31,Malta,52.8,24.2,39.1,50.6,56.2,68.1,1.289772727,28.6,0.775330396,62
32,Trinidad And Tobago,52.6,13.1,33.7,55.3,43.9,43.7,0.830798479,39.5,1.203661327,39
33,Costa Rica,52.3,16.7,35.2,56.1,43.1,46.2,0.883365201,35.6,1.132034632,47
34,Bahrain,52.3,20.5,37,46.9,44.7,105,2.007648184,31.8,0.498095238,55
35,Greece,52,12.9,33.2,48.4,51.3,53,1.019230769,39.1,0.981132075,39
36,Estonia,52,15,34.2,46.4,50.6,80.4,1.546153846,37,0.646766169,44
37,Qatar,51.3,36.1,44,43.9,47.2,161.1,3.140350877,15.2,0.318435754,82
38,Slovenia,49.9,18.7,34.9,49,43.4,80.9,1.621242485,31.2,0.616810878,54
39,Latvia,49.1,11.2,30.9,42.8,44.9,66.9,1.362525458,37.9,0.733931241,36
40,Spain,47.3,22.9,35.6,46,44.1,92.1,1.947145877,24.4,0.513572204,64
41,Lithuania,47.1,15.6,31.9,44.2,43.5,75.5,1.602972399,31.5,0.62384106,49
42,Slovakia,46.7,14.8,31.4,46.7,34.5,68.3,1.462526767,31.9,0.68374817,47
43,Cuba,46.7,11.8,29.9,43,26,2.3,0.049250535,34.9,20.30434783,39
44,Czech Republic,46.6,18.8,33.3,44.4,34.1,84,1.802575107,27.8,0.554761905,56
45,Panama,46.4,20.1,33.8,48.3,42.2,42.2,0.909482759,26.3,1.099526066,59
